    PID TTY      STAT   TIME COMMAND
2978132 ?        Sl     0:00 /usr/lib/gvfsd-smb-browse --spawner :1.5 /org/gtk/gvfs/exec_spaw/6
2978205 ?        SLl    0:01 /usr/lib/gvfsd-afp-browse --spawner :1.5 /org/gtk/gvfs/exec_spaw/7
2978239 ?        SLl    1:14 /usr/lib/gvfsd-afp --spawner :1.5 /org/gtk/gvfs/exec_spaw/8
2982470 ?        Ssl    7:58 /usr/bin/dockerd -H fd://
2982481 ?        Ssl   17:35 containerd --config /var/run/docker/containerd/containerd.toml --log-level info
2982807 pts/2    Ss     0:00 bash
2982912 pts/2    S      0:00 su - shane
2982915 pts/2    S      0:00 -bash
3057572 ?        Sl     0:09 mousepad
3093477 pts/4    Ss     0:00 bash
3155333 pts/4    Sl+    2:44 xfreerdp /u:shane /p:********** /v:10.200.0.146 /f
3161022 ?        Sl     0:14 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7690 --no-v8-untrusted-code-mitigations --shared-files
3164102 ?        Sl     0:19 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7752 --no-v8-untrusted-code-mitigations --shared-files
3164154 ?        Sl    11:53 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7755 --no-v8-untrusted-code-mitigations --shared-files
3164177 ?        Sl     0:07 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7756 --no-v8-untrusted-code-mitigations --shared-files
3164198 ?        Sl     0:06 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7757 --no-v8-untrusted-code-mitigations --shared-files
3164286 ?        Sl     0:08 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7759 --no-v8-untrusted-code-mitigations --shared-files
3164378 ?        Sl     0:07 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7767 --no-v8-untrusted-code-mitigations --shared-files
3165232 ?        Sl    17:33 /usr/lib/firefox/firefox https://www.picotech.com/oscilloscope/3000/usb3-oscilloscope-logic-analyzer
3165297 ?        Sl     7:28 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3165354 ?        Sl     0:46 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 6407 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3165398 ?        Sl     0:20 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 7246 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3166711 ?        Sl     1:12 /usr/lib/slack/slack -s
3166714 ?        S      0:00 /usr/lib/slack/slack --type=zygote
3166716 ?        S      0:00 /usr/lib/slack/slack --type=zygote
3166742 ?        Sl    12:53 /usr/lib/slack/slack --type=gpu-process --field-trial-handle=4243823475139197834,5122928588130487975,131072 --disable-features=SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=8058322473936333600
3166755 ?        Sl     0:22 /proc/self/exe --type=utility --field-trial-handle=4243823475139197834,5122928588130487975,131072 --disable-features=SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=en-US --service-sandbox-type=network --standard-schemes=slack-resources,slack-sounds,slack-webapp-dev --secure-schemes=slack-resources,slack-sounds,slack-webapp-dev --bypasscsp-schemes=slack-resources,slack-sounds,slack-webapp-dev --cors-schemes=slack-resources,slack-sounds,slack-webapp-dev --fetch-schemes=slack-resources,slack-sounds,slack-webapp-dev --service-worker-schemes=slack-resources,slack-sounds,slack-webapp-dev --service-request-channel-token=2798373673465094325 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
3166775 ?        Sl    23:01 /usr/lib/slack/slack --type=renderer --autoplay-policy=no-user-gesture-required --force-color-profile=srgb --field-trial-handle=4243823475139197834,5122928588130487975,131072 --disable-features=SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=en-US --standard-schemes=slack-resources,slack-sounds,slack-webapp-dev --secure-schemes=slack-resources,slack-sounds,slack-webapp-dev --bypasscsp-schemes=slack-resources,slack-sounds,slack-webapp-dev --cors-schemes= esources,slack-sounds,slack-webapp-dev --fetch-schemes=slack-resources,slack-sounds,slack-webapp-dev --service-worker-schemes=slack-resources,slack-sounds,slack-webapp-dev --app-path=/usr/lib/slack/resources/app.asar --no-sandbox --no-zygote --native-window-open --preload=/usr/lib/slack/resources/app.asar/dist/preload.bundle.js --context-isolation --background-color=#FFFFFF --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=12238043232319395634 --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100,v8_natives_data:101 {"preloadEnvironment":{"resourcePath":"/usr/lib/slack/resources/app.asar","appVersion":"4.4.0","linux":{"os":"Manjaro Linux","name":"Manjaro Linux ","release":"","codename":"","desktopEnvironment":"XFCE"},"sessionId":"ZWU5YjM4M2MtYzJjNy01MDI5LTljZTUtYTE1ZDM4NTU5NjVjXzE1OTI1NzcwNzQ0NzA=","uuid":"ee9b383c-c2c7-5029-9ce5-a15d3855965c","releaseChannel":"prod","teamId":"app","windowType":"main"},"perfTimer":{"mainPid":3166711,"BOOT":[239357,927556842],"numTeamsAtLaunch":1,"SHELL":[239358,142156455],"APP_READY":[239358,150724093],"APP_CREATED":[239358,249599109],"MAIN_WINDOW_CREATING":[239358,284589081]},"identifier":"slack_preload_metadata_arguments"}
3166972 ?        Sl     0:00 /usr/bin/zoom zoommtg://zoom.us/join?action=join&confno=3797754522&pwd=NlVRdWVDMUZvSVA0aXBNdlpVaEhUZz09&zc=0&mcv=0.92.11227.0929&confid=dXNzPWhXU0p1RDQwc0JrUUdkT2N0eDZDQnZON1JQYUJLYWl2MHlRYTVQSUl5MUc4OWdTYTVrSG1YaGJ4eDNKU2t6Uk9rZyUzRCUzRCZ0aWQ9MDUyNmUzYTU2ZTU0NGE0MmEwNmYxMGY3NTU1MmJhNzUmYXBwPWNocm9tZQ%3D%3D&browser=chrome&t=1592577206129
3166978 ?        S      0:00 sh -c export SSB_HOME=/home/shane/.zoom; export QSG_INFO=1; export LD_LIBRARY_PATH=/opt/zoom; export BREAKPAD_CLIENT_FD=3; /opt/zoom/zoom "zoommtg://zoom.us/join?action=join&confno=3797754522&pwd=NlVRdWVDMUZvSVA0aXBNdlpVaEhUZz09&zc=0&mcv=0.92.11227.0929&confid=dXNzPWhXU0p1RDQwc0JrUUdkT2N0eDZDQnZON1JQYUJLYWl2MHlRYTVQSUl5MUc4OWdTYTVrSG1YaGJ4eDNKU2t6Uk9rZyUzRCUzRCZ0aWQ9MDUyNmUzYTU2ZTU0NGE0MmEwNmYxMGY3NTU1MmJhNzUmYXBwPWNocm9tZQ%3D%3D&browser=chrome&t=1592577206129"
3166979 ?        SLl  134:58 /opt/zoom/zoom zoommtg://zoom.us/join?action=join&confno=3797754522&pwd=NlVRdWVDMUZvSVA0aXBNdlpVaEhUZz09&zc=0&mcv=0.92.11227.0929&confid=dXNzPWhXU0p1RDQwc0JrUUdkT2N0eDZDQnZON1JQYUJLYWl2MHlRYTVQSUl5MUc4OWdTYTVrSG1YaGJ4eDNKU2t6Uk9rZyUzRCUzRCZ0aWQ9MDUyNmUzYTU2ZTU0NGE0MmEwNmYxMGY3NTU1MmJhNzUmYXBwPWNocm9tZQ%3D%3D&browser=chrome&t=1592577206129
3169271 ?        Sl     0:00 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7865 --no-v8-untrusted-code-mitigations --shared-files
3170174 pts/0    Sl+    1:38 xfreerdp /d:SOFTAID /u:shanev /p:******** /v:10.200.0.131 /f /clipboard /sound /mic:sys:alsa,format:1,rate:44100 /multimon /monitors:1,2
3170694 ?        Sl     0:09 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7885 --no-v8-untrusted-code-mitigations --shared-files
3170746 ?        Sl     0:00 /usr/lib/chromium/chromium --type=utility --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --service-sandbox-type=utility --disable-webrtc-apm-in-audio-service --shared-files
3172321 ?        Sl     1:45 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7907 --no-v8-untrusted-code-mitigations --shared-files
3174567 ?        Sl    14:24 /usr/lib/firefox/firefox -contentproc -childID 20 -isForBrowser -prefsLen 10584 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3175409 ?        I      0:18 [kworker/5:1-events]
3176260 ?        Sl     0:23 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7947 --no-v8-untrusted-code-mitigations --shared-files
3179591 pts/5    Ss+    0:00 bash
3179823 ?        Sl     0:18 k3b /home/shane/Downloads/beamdogClient-2.1.11-x86_64 (1).AppImage
3179985 ?        Ss     0:00 kdeinit5: Running...
3179986 ?        Sl     0:00 /usr/lib/kf5/klauncher --fd=8
